SUM159R_DMSO_24H_0	SUM159R_DMSO_24H_1	SUM159R_DMSO_3H_0	SUM159R_DMSO_3H_1	SUM159R_JQ1_24H_0	SUM159R_JQ1_24H_1	SUM159R_JQ1_3H_0	SUM159R_JQ1_3H_1	SUM159_DMSO_12H_0	SUM159_DMSO_12H_1	SUM159_DMSO_24H_0	SUM159_DMSO_24H_1	SUM159_DMSO_3H_0	SUM159_DMSO_3H_1	SUM159_JQ1_12H_0	SUM159_JQ1_12H_1	SUM159_JQ1_24H_0	SUM159_JQ1_24H_1	SUM159_JQ1_3H_0	SUM159_JQ1_3H_1
MATN1	0.0707175	0.0302178	0.0649251	0.0338458	0.0201349	0.0224068	0.0351316	0.047348	0.0673982	0.0437015	0.0532298	0.0598618	0.0128902	0.093967	0.01	0.0277537	0.0834321	0.0648864	0.0464395	0
MATN1-AS1	0.740833	1.05355	0.396755	0.714675	0.751445	1.18833	0.39679	0.66962	0.807556	0.758255	2.02142	1.95482	0.455749	0.632825	0.954403	1.14482	2.40358	1.55492	0.471294	0.294727
MATN2	0.411031	0.25468	0.227811	0.261466	0.617137	0.607187	0.182118	0.249916	0.165164	0.144164	1.02228	0.780109	0.311282	0.373254	0.303403	0.251337	0.576686	0.522656	0.233444	0.292948
MATN3	0	0.0115142	0.0329856	0.0644834	0.0613778	0.0683033	0.0401598	0.0288665	0.0924535	0.133217	0.0540874	0.114049	0.176821	0.0409204	0.0897668	0.105753	0.0211941	0.0988977	0.129766	0.114348
MATN4	0.0208574	0.0267373	0.0435212	0	0	0.0225293	0.0330678	0.0380856	0.0253755	0.0146458	0	0.0300946	0	0.0631792	0.0888311	0.0418593	0.0559256	0	0.131145	0.040352
MATR3	109.014	115.614	125.109	149.48	118.322	107.992	129.1	135.968	120.79	124.725	122.294	109.828	146.688	122.968	114	109.241	82.4639	97.0829	137.929	162.176
MAU2	9.32142	8.47875	5.67152	5.21364	7.40456	8.79054	3.71283	3.9145	8.40553	7.65211	9.20288	9.12778	7.16832	9.17171	6.5516	7.35985	8.93671	7.69247	6.01262	5.05733
MAVS	21.6644	18.3263	10.5719	9.97306	20.7492	19.2685	9.65959	8.83863	12.8237	14.6696	17.0528	16.687	12.7475	11.9429	15.6905	14.0883	23.9103	25.0283	9.84475	9.97766
MAX	23.3568	25.1763	37.7978	39.8742	25.5182	26.3297	42.2459	42.3965	25.9662	24.0775	17.3724	18.115	27.3454	30.5387	24.277	24.573	15.8737	15.9183	34.8115	31.1185
MAZ	63.8656	75.6738	66.9761	61.4235	65.2839	79.5749	59.5321	56.5089	98.4258	79.8631	56.6793	59.7806	75.9251	106.734	54.8758	65.2346	54.3351	42.8974	85.5771	58.0684
MB	1.17354	0.78326	1.28691	1.12332	4.63068	4.47462	0.473683	1.1393	1.67187	1.41404	8.61253	8.5592	2.13878	2.11095	2.00846	1.78469	11.0005	12.0545	1.88268	1.68883
MB21D1	6.04412	8.00513	9.73949	10.6174	5.25407	6.26635	8.78872	8.53043	10.7358	9.46997	4.87156	5.72188	11.758	12.6865	5.47919	6.61241	3.02902	2.62073	7.16548	6.97957
MB21D2	0.972829	0.848705	3.29141	3.49202	0.911747	0.854081	2.81919	2.69223	2.25611	2.74707	0.976345	0.866382	5.15719	4.16268	2.1099	2.02034	0.302875	0.446306	3.83308	3.75965
MBD1	21.4643	21.8782	19.9465	17.6915	22.6513	23.6702	19.5639	17.8911	19.6042	18.4035	16.6256	14.2297	18.9619	22.0522	22.4445	22.0791	21.4095	17.2872	20.3278	17.7084
MBD2	14.7659	16.4772	13.8824	14.288	13.9675	13.6444	13.1438	13.146	19.6188	18.1009	11.463	11.282	21.1567	19.7245	15.0237	16.1713	9.72201	11.2541	20.4426	19.5576
MBD3	21.4319	48.8759	66.499	65.4272	17.888	54.1386	59.9746	55.5948	45.4422	21.1169	16.0638	26.9134	19.6287	50.2147	18.6237	42.6042	41.4499	18.1628	43.4737	22.5911
MBD3L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L2	0	0	0	0	0	0	0	0	0	0	0	0.0475997	0	0	0	0	0	0	0	0
MBD3L3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD3L5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBD4	25.4016	23.4632	25.4374	28.869	24.4836	21.6797	28.6489	28.4173	23.2484	24.882	29.203	27.5131	28.566	24.8436	25.2045	24.5119	19.7678	23.3495	34.715	41.0716
MBD5	1.1324	0.834216	0.126018	0.0897423	1.16197	0.978543	0.0986309	0.0768029	0.769489	0.799761	1.19553	1.54989	0.587063	0.47737	0.794588	0.857096	1.70903	1.82167	0.516681	0.595101
MBD6	6.59574	6.89322	1.62408	1.36845	6.86426	8.84327	1.50921	1.65332	6.31093	4.99292	7.14132	6.90342	3.57715	4.97728	5.03988	5.87846	9.35328	7.46498	4.63007	3.34848
MBIP	12.521	12.9034	11.9037	14.0278	11.0979	10.5554	13.6354	14.1246	14.372	14.1616	15.1979	14.0954	13.9231	12.0731	13.7755	13.9445	9.57043	11.2447	11.492	13.5397
MBL1P	0.18789	0.246979	0.473441	0.201187	0.262069	0.357154	0.368747	0.466376	0.240378	0.278278	0.263675	0.155676	0.0958184	0.218073	0.32755	0.304725	0.377586	0.422555	0.082397	0.127416
MBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MBLAC1	0.52802	0.528807	1.53511	1.68213	0.451018	0.690124	1.5247	1.27271	1.0568	0.713786	0.894255	1.3409	0.360923	1.03363	0.474107	0.796527	0.895499	0.545042	0.823521	0.750227
MBLAC2	2.7995	3.33333	5.86557	6.44337	3.98541	3.91684	5.899	6.47816	4.15504	3.8164	3.45678	3.42816	4.04788	3.95275	3.73958	4.15404	3.33995	3.15166	4.04173	4.41441
MBNL1	62.4754	62.559	84.6466	90.8233	54.9435	48.6886	83.7838	84.9038	67.2563	70.9246	56.4055	53.7926	95.1811	78.4205	67.0659	63.3301	54.5901	63.4499	74.5222	87.7013
MBNL1-AS1	0.165834	0.178417	0.320789	0.247699	0.107683	0.110468	0.296564	0.229167	0.265298	0.282924	0.189756	0.24011	0.434655	0.381422	0.190645	0.191331	0.179985	0.124275	0.156593	0.235308
MBNL2	13.9117	14.0164	11.1148	13.2226	16.2323	14.9535	12.1121	13.005	11.6489	12.0561	24.6664	22.3809	12.5015	11.0661	10.7145	9.83936	14.2869	15.7336	7.74914	9.61983
MBNL3	0.0270334	0.0297095	0.0212757	0.0249598	0.0197908	0.0367205	0.0345406	0.0496584	0.422585	0.458845	0.427359	0.362926	0.510073	0.331088	0.347525	0.268397	0.154971	0.208549	0.401813	0.474308
MBOAT1	1.70325	1.56499	0.820051	0.805245	1.02905	1.28337	1.12993	0.801056	1.85004	1.87407	1.90772	1.74069	1.20401	1.01345	1.04443	1.29204	1.12727	1.84107	0.825239	0.85002
MBOAT2	21.689	22.0965	24.3338	26.7523	24.9549	22.6984	25.097	25.7716	5.34255	5.94964	8.43531	8.14725	5.98529	5.22579	5.82088	5.15056	9.4679	11.411	5.14523	6.89801
MBOAT4	0	0.0187747	0.0717134	0.0210288	0.0500402	0.0139216	0.0218277	0.0235343	0.100501	0.0543046	0.176386	0.148772	0.096106	0.0834042	0.0365926	0.068975	0.103675	0.0645036	0.0192356	0
MBOAT7	13.2384	19.2455	10.8816	9.46824	11.4059	22.0695	9.78602	8.53746	32.4177	20.5441	19.2138	27.2769	16.4182	29.7489	14.5246	25.004	31.2058	20.0739	35.26	20.2398
MBP	0	0.0373263	0.01675	0.0119427	0	0.0355927	0	0	0.2072	0.247816	0.164791	0.322698	0.0798119	0.147603	0.117036	0.0924431	0.149841	0.208606	0.0502235	0.041475
MBTD1	3.40872	3.34867	2.6875	3.02191	4.63181	3.82463	3.56109	3.44164	2.81294	3.48363	5.59129	5.41809	3.60162	2.88591	3.18602	2.55086	3.96317	5.22538	2.46612	3.10716
MBTPS1	46.4617	44.1572	31.7718	31.0072	52.2803	52.2113	32.5542	30.3576	28.8637	29.2923	36.4401	33.7288	29.0121	28.3154	31.483	30.9352	44.1273	47.0102	29.2303	28.8791
MBTPS2	10.8598	10.9291	10.5999	11.7939	9.27609	7.63864	9.58131	9.77418	24.8175	27.4493	31.9229	30.6927	30.0493	23.149	20.8008	18.364	19.7319	23.4026	21.2387	27.35
MC1R	1.31385	1.6653	0.740905	0.816046	1.14746	1.62073	0.605033	0.462567	1.26625	1.03087	0.955611	1.56515	0.952555	1.52162	0.875983	1.05154	1.67198	1.07277	1.25056	0.885973
MC2R	0.123947	0.0635554	0.0758631	0.097881	0.116459	0.0235635	0.120072	0.0497923	0.0779653	0.0765959	0.0373185	0.0550831	0.0677781	0.0917596	0.108388	0.0875595	0.146232	0.0682361	0.0813947	0.0901671
MC3R	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MC4R	0	0	0	0	0	0	0	0	0.237651	0.171216	0.521367	0.30782	0.227258	0.0788891	0.173059	0.101939	0.122578	0.0381323	0.113714	0.0314925
MC5R	0	0.024567	0.0234595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCAM	21.628	19.7999	11.8997	10.8679	21.3449	24.2208	13.653	12.7555	9.977	9.2115	9.29679	8.10154	7.63556	9.3833	5.77754	5.7508	12.0571	12.0196	9.7617	7.96373
MCAT	7.18668	8.26784	13.4398	12.489	5.80468	9.19283	10.471	11.5888	13.428	9.84053	6.06952	5.79569	8.97528	14.1162	9.97692	13.1353	7.82858	6.0762	12.0215	8.1751
MCC	3.05939	2.6769	1.39966	1.37687	4.23394	3.66384	1.69686	1.65527	0.383726	0.38535	0.447894	0.402507	0.281267	0.286684	0.463198	0.409655	0.530907	0.656402	0.300981	0.404532
MCCC1	21.8909	21.0231	12.2428	13.7677	26.654	26.0802	13.6759	14.097	14.4786	15.3295	21.1697	20.0437	16.2616	14.3038	13.5705	14.711	22.128	27.3733	16.5187	18.3056
MCCC2	40.9259	39.6712	28.0955	28.196	38.8196	34.7682	28.193	28.9126	49.9903	54.2518	44.9562	43.7371	60.0113	52.723	52.6348	51.1588	40.7698	45.9704	58.8886	64.0792
MCCD1	0.0846257	0	0	0.121507	0	0.0402204	0	0.0679921	0	0	0	0	0	0	0	0	0	0	0	0
MCEE	8.85526	8.51372	10.7614	11.8393	7.07058	7.6244	10.5198	13.0952	10.0175	10.9446	28.4972	25.869	12.0006	9.90293	14.0284	13.0703	13.7027	12.6469	11.1247	13.0705
MCF2	0.215353	0.302732	0.200938	0.218853	0.121776	0.0623589	0.229961	0.219537	0.0362151	0.0584404	0.0592549	0.0150726	0.0573984	0.0373597	0.081958	0.0699778	0.0309573	0.065074	0.0430816	0.119315
MCF2L	0	0.0132166	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0
MCF2L-AS1	0	0	0	0	0	0.0213581	0	0.0361056	0	0	0	0	0	0	0	0	0	0	0	0
MCF2L2	0.523921	0.473731	1.33995	1.49108	0.559395	0.493565	0.927238	1.08994	0.497546	0.398929	0.366192	0.35638	0.480905	0.383603	0.601911	0.556269	0.485665	0.298733	0.233465	0.374328
MCFD2	53.9085	48.0589	44.2187	49.5456	43.2906	36.1046	44.4264	44.9754	56.4117	65.3185	59.5636	55.8367	68.1575	54.9811	55.6778	48.2583	48.7053	57.856	51.0795	62.287
MCHR1	0.0192595	0	0	0	0	0	0	0	0.0110133	0	0	0.0122273	0	0.0109677	0.0120299	0.0113379	0	0.0636172	0.0126475	0
MCHR2	0.0660859	0	0.0539318	0	0.0376319	0.020939	0.0656618	0.0176978	0.0125961	0.0136122	0	0	0	0.012544	0	0	0.0259878	0.0727641	0.0433981	0
MCIN	1.70947	2.69598	5.09383	4.56988	1.9405	2.36257	3.8216	4.01197	3.5886	2.69662	1.15129	1.15669	3.29638	4.0605	1.46117	1.94649	0.636892	0.396256	1.62481	1.28858
MCL1	192.688	185.858	171.92	178.827	204.19	175.293	164.871	161.178	119.13	133.129	100.494	98.946	215.082	179.98	146.915	128.925	123.84	139.246	281.864	363.513
MCM10	13.9817	12.7815	31.0235	31.7206	13.8333	11.5211	30.138	30.7169	17.419	19.1703	5.83538	5.22682	24.1982	20.7073	10.667	9.56743	3.18018	3.45572	15.9726	18.0711
MCM2	43.2706	44.814	55.7545	49.8862	35.4618	43.2075	40.1989	38.2588	73.9559	65.5952	40.7618	41.1076	63.8668	80.4478	29.3045	32.3316	23.3137	21.1843	62.0027	48.2727
MCM3	85.3458	76.5783	121.303	115.391	90.4555	85.2723	110.678	112.891	101.991	110.981	62.538	56.8739	115.484	111.606	65.5365	61.7328	40.3501	45.8025	90.9911	88.3164
MCM3AP	28.865	27.6329	19.2165	17.254	29.1654	28.314	17.0579	15.091	20.5509	20.9262	14.9492	14.069	20.376	21.0755	22.2808	21.3311	19.1137	20.1474	18.3617	16.968
MCM3AP-AS1	0.931703	0.754632	0.471083	0.436225	1.07264	0.79935	0.347144	0.358013	0.914997	1.08895	1.40261	0.925841	0.598091	0.726662	0.544009	0.393477	0.525713	0.579831	0.359124	0.368359
MCM4	66.333	64.11	98.1363	98.6115	66.4232	62.1927	91.0041	91.4849	77.0237	81.3804	36.404	35.5357	84.0401	82.31	62.6491	61.7212	27.0574	28.1002	83.2392	86.393
MCM5	31.4413	34.4802	41.1574	37.9519	20.8241	30.8578	32.4178	30.2022	65.1973	50.8244	31.4542	32.1834	46.141	69.2504	19.8897	25.6099	20.4094	16.2544	57.5318	38.9117
MCM6	45.9097	43.6	109.368	113.194	48.924	45.9806	107.006	113.801	56.8847	61.0023	35.6969	34.8639	67.716	60.3512	44.7615	41.0208	22.3467	25.3993	54.4223	61.7801
MCM7	119.507	110.646	189.278	176.872	97.0742	100.457	176.292	170.885	146.583	151.638	89.504	81.3413	152.52	167.667	81.6449	78.2225	45.1962	44.6106	150.002	136.604
MCM8	26.3627	23.0713	35.7469	38.9694	22.9473	19.2411	36.3352	37.5917	17.5552	20.2269	13.0974	11.9039	24.0098	18.1958	16.536	14.5316	8.36075	10.3089	19.7789	25.4422
MCM9	3.99131	3.4754	5.15493	4.9919	4.99908	3.90016	4.40093	4.24361	3.39352	3.77848	2.90113	2.71874	5.1783	4.93662	2.97645	2.71533	2.06321	2.14483	2.21771	2.69578
MCMBP	40.4859	36.7085	57.9432	60.6316	37.5449	32.3951	51.5089	52.7991	51.4403	54.9042	31.894	29.8569	72.3485	59.5347	44.4644	39.9979	21.5242	25.7636	51.8333	63.7697
MCMDC2	0.209667	0.161272	0.215656	0.14425	0.325424	0.176152	0.12369	0.168455	0.119895	0.231237	0.34908	0.327232	0.15287	0.203973	0.163703	0.227929	0.410669	0.229834	0.126212	0.259779
MCOLN1	6.65647	6.8987	9.84705	8.90952	7.24691	10.4776	10.8285	9.24588	7.23865	5.48004	3.49879	3.98246	5.37975	7.67129	6.35647	8.84672	7.05463	6.23596	9.18701	6.7916
MCOLN2	0.978133	1.09955	0.967093	1.06952	1.77381	1.32312	1.18865	1.1365	1.41985	1.4879	0.996771	0.964918	1.97492	1.76532	1.13733	1.03647	0.816674	0.960994	1.58112	1.80626
MCOLN3	0	0	0.0105544	0	0	0	0	0.0138546	0.01	0	0.0778861	0	0	0	0.0201772	0.030457	0	0.037976	0.0226496	0.0313634
MCPH1	3.81194	4.09163	6.67709	7.21572	2.4594	2.10836	3.76742	4.04542	8.65639	9.43033	9.24833	8.08414	11.4734	8.95077	4.25522	3.75898	2.50289	2.93723	2.59128	3.29425
MCRS1	35.614	33.0272	41.3813	40.7831	27.8841	28.7274	36.6535	36.1384	34.5884	34.2314	31.2353	28.4762	30.8874	37.2785	25.7087	26.3778	27.0881	27.2891	28.899	26.8817
MCTP1	5.58694	5.31915	10.005	11.537	4.26815	3.4728	10.3942	10.299	3.25226	3.21982	4.4038	3.7861	4.79206	4.14681	3.34073	3.47374	1.77747	2.19795	5.00452	6.83853
MCTP2	2.31804	2.02654	1.52854	1.53833	2.32558	1.81765	1.55917	1.75007	4.3774	5.16957	4.77136	4.87286	4.09508	3.38474	4.22554	3.32024	4.27376	4.68052	2.70096	3.04238
MCTS1	6.23053	5.85323	6.46385	7.83777	4.65921	4.0262	6.28716	6.52177	11.2468	12.9799	12.5457	12.7418	13.2687	10.4783	12.5945	10.9261	8.09446	8.16118	10.9111	14.5473
MCU	21.7187	21.5966	20.0326	24.5113	21.1368	20.1104	22.0625	22.5668	19.677	20.2644	18.2151	18.1022	18.8325	15.9767	26.3857	24.8134	19.1843	21.6531	19.8914	21.0925
MDC1	17.4074	14.721	5.26147	4.98935	15.5771	13.32	4.06309	3.80562	12.714	14.5839	13.4171	11.4264	10.1583	10.5109	9.12174	8.21068	9.17767	9.8788	7.5216	6.73197
MDFI	0	0.0387718	0.037024	0.0217134	0	0	0	0	0.155659	0.168217	0	0.21122	0.0992347	0.31003	0.0188919	0.0356102	0	0	0.0993091	0
MDFIC	6.93489	8.16397	5.93256	5.52835	5.53765	5.52152	4.77578	4.67236	9.94232	10.1899	7.16677	7.30805	9.739	9.22782	4.31851	4.4184	3.6185	3.61872	7.1089	8.87392
MDGA1	0.289726	0.314747	0.258481	0.162167	0.293614	0.378089	0.215898	0.19727	0.162868	0.172973	0.340057	0.370994	0.112782	0.215327	0.180969	0.216812	0.643079	0.459581	0.277328	0.250061
MDGA2	1.45202	1.3171	0.587285	0.652273	1.47237	1.17439	0.512535	0.477562	1.53439	1.50601	1.94302	1.92448	1.16083	0.938102	1.19868	1.07973	1.10198	1.51461	1.01486	1.01151
MDH1	199.164	186.884	215.842	259.609	160.53	151.904	238.825	248.3	136.105	150.944	192.739	187.821	153.294	130.774	175.971	165.435	128.797	148.567	156.855	193.239
MDH1B	0.884487	0.605569	0.393716	0.360785	0.497944	0.515913	0.344532	0.436072	0.505783	0.708081	0.817073	0.944398	0.351757	0.572375	0.389241	0.331347	0.592905	0.8632	0.475228	0.621498
MDH2	189.889	216.177	227.101	228.505	168.397	214.609	237.359	240.48	258.967	214.471	240.868	232.188	191.245	262.493	212.317	252.477	220.961	205.744	313.172	233.806
MDK	0.419271	0.859408	0.514093	0.819156	0.35854	0.948869	0.371604	0.337385	1.23521	1.1555	4.9268	3.36047	0.54538	1.01194	1.15576	1.21234	1.78309	1.0975	1.3732	1.70076
MDM1	6.05462	5.8681	5.82237	4.90585	6.85636	5.44552	5.74036	5.48061	6.30988	7.56876	4.34694	3.88196	5.42351	4.77927	6.53979	5.50345	4.52117	4.63701	3.03004	3.80527
MDM2	7.1738	7.43229	4.94505	5.04038	7.23261	6.37747	5.25376	5.07871	7.57571	8.80828	6.78072	5.89835	10.3152	7.96628	6.24757	5.9297	4.84923	6.15065	4.05838	4.88717
MDM4	2.90919	2.73448	2.26456	2.34098	3.40716	3.00883	2.23547	2.15831	2.63228	2.78941	3.36326	3.16871	3.25994	2.8146	2.38608	2.09787	3.03864	3.65951	1.35082	1.48396
MDN1	5.69131	4.19903	4.5604	3.52917	9.3533	6.81784	5.26151	4.19926	6.23331	8.4118	4.46724	4.26015	8.60269	6.44104	7.58953	5.7791	4.55067	5.77661	5.68285	6.91997
MDP1	9.71927	6.07332	14.8428	18.6503	7.17288	8.6823	14.8796	19.9777	7.37304	6.87555	14.5602	21.5811	5.95295	8.64261	8.3349	9.21153	9.69355	12.6572	7.39842	6.65515
MDS2	0.103855	0.133133	0.0953485	0.0372793	0.133065	0.0740394	0.116086	0.166884	0.0890825	0.256719	0	0.197803	0.0567913	0.0887139	0.227046	0.183415	0.428847	0.514575	0.170502	0.0472194
ME1	19.7366	17.8923	21.1519	23.2077	25.5741	23.1319	22.3398	23.5372	27.6179	31.7194	41.286	38.0574	38.5713	31.1252	28.2254	25.7131	33.7102	41.5305	31.6651	38.6861
ME2	18.8631	18.3339	27.2233	30.3595	18.8472	16.2981	29.2072	30.4098	32.83	34.9706	23.4602	23.3186	38.1493	31.1784	35.2865	32.4422	20.4171	22.9101	37.6825	46.6556
ME3	0	0	0	0	0	0	0	0.0182232	0	0.0420527	0.102443	0.0143997	0	0.0129164	0.0566743	0.0267062	0.0267593	0	0.0595839	0.0412522
MEA1	107.68	95.5822	173.262	185.429	92.473	94.5309	176.838	192.272	88.9299	93.6711	66.8629	61.6411	83.2318	90.1428	101.796	98.3152	83.1701	82.5948	110.011	103.141
MEAF6	7.52202	8.05929	12.4093	13.2719	8.24389	7.59374	11.7357	12.0434	9.02904	9.57346	8.08074	7.54325	11.577	9.43876	8.20424	8.63277	6.71499	8.00107	8.20446	9.02998
MECOM	10.055	9.17056	7.4916	7.96865	8.83006	7.65977	7.11842	7.38476	8.88127	9.96465	7.84937	7.58839	9.79611	8.45829	9.22921	8.19468	7.45939	8.31882	6.63177	7.82167
MECP2	13.6976	15.2877	13.465	11.1669	14.6109	17.5669	10.9278	11.5419	17.5944	15.3584	18.3964	17.6744	14.2539	17.816	16.526	19.6349	21.4985	17.6756	15.3433	12.6989
MECR	8.83032	8.69442	12.2231	12.0101	7.4258	8.45109	13.1074	12.9313	10.1106	9.93186	11.0564	10.326	8.50296	10.9882	11.5198	10.3073	11.4782	11.1082	11.3157	10.3589
MED1	17.99	14.2755	15.9732	15.6226	18.8497	15.2492	14.1515	13.4296	18.3536	22.238	18.4006	15.9878	23.1581	19.1048	20.9954	17.2318	14.7569	19.4111	15.859	19.4262
MED10	49.2195	50.6953	110.661	123.505	48.554	50.754	104.853	109.968	51.1306	51.1532	39.5856	40.1054	65.0038	63.0876	57.0166	55.6295	43.567	38.7176	45.06	50.7936
MED11	22.3239	20.1283	35.9347	44.1097	22.1006	23.4911	36.7809	36.585	14.6004	14.8502	19.5269	16.4265	12.0207	13.607	18.1229	21.903	24.0018	22.5502	13.4942	12.602
MED12	6.34896	5.45014	1.75544	1.42408	6.45913	6.38026	1.58175	1.49732	7.90417	8.29982	11.9164	10.2915	6.98507	7.42177	5.69009	5.83506	10.4717	11.0249	5.60469	4.72779
MED12L	0.01	0.01	0.0103135	0.01	0.01	0.01	0.01	0.01	0.0794948	0.130164	0.0761012	0.0882573	0.110572	0.0815649	0.026313	0.0123996	0.0298202	0.0463831	0.0193647	0.0383067
MED13	9.65863	8.20626	7.36218	6.95495	11.8184	9.45811	8.22165	7.53931	7.54761	9.12431	7.04129	6.78509	11.9389	8.93949	9.32916	8.18195	8.91862	10.8915	9.23374	11.9075
MED13L	7.69117	6.4077	4.21134	3.50156	10.3259	8.39128	3.89147	3.39101	6.40136	7.36403	8.00183	7.60086	9.16559	7.51295	7.14356	6.15396	8.46394	10.0379	5.944	6.41348
MED14	22.6707	20.4859	15.2706	14.5928	22.1563	18.4273	15.4771	14.0455	23.7424	26.4546	25.827	25.7063	24.616	21.2156	25.4948	23.503	23.3439	28.3452	20.8862	24.203
MED15	14.8023	18.6859	9.25406	7.76249	11.8425	18.8093	7.68616	6.81978	19.2784	13.7563	14.2223	16.9763	9.96133	16.1761	13.0125	18.9347	21.409	13.0987	15.6656	9.49119
MED16	10.9356	17.8655	8.01075	6.65512	7.0459	16.2867	5.72539	5.16313	15.4987	7.92307	9.20114	14.2944	6.547	13.7793	7.0171	13.7541	14.4774	7.57733	13.9086	6.78656
MED17	13.2766	12.2696	16.9989	16.9106	13.4245	13.1937	17.611	16.9442	9.863	10.8272	7.01397	6.9211	13.9524	12.3794	12.0461	12.4992	8.91129	9.4597	12.0169	15.6251
MED18	8.41985	8.86937	9.42632	10.5219	7.7116	6.81941	8.63346	9.61013	12.0278	11.0208	13.9575	11.8204	10.2369	10.9958	10.7248	10.4182	10.3331	9.72894	6.54448	6.2553
MED19	10.1133	11.9188	13.7376	15.1297	9.75306	12.8072	14.6348	14.3637	9.79403	7.82222	6.87568	8.34677	6.6363	8.91749	11.6151	14.8455	9.00641	7.65098	12.7041	10.7092
MED20	26.0105	22.3813	20.2336	22.1002	30.8378	26.1086	20.1808	20.6111	13.1113	15.4582	16.0984	13.8525	8.89986	7.69507	21.8697	17.8567	14.0353	15.561	6.8496	9.12589
MED21	25.2703	24.2799	26.9629	32.9444	21.6533	19.0899	26.772	27.5172	16.3775	19.4078	20.2207	18.6687	19.4962	14.0206	21.8938	18.175	13.6485	16.1625	14.4374	20.2839
MED22	13.935	14.2979	13.6686	12.7624	9.13609	12.0687	9.60891	9.75032	14.0326	12.5876	6.73543	6.5716	10.3654	12.1098	8.87148	10.6482	6.01146	5.50353	8.22551	6.30396
MED23	11.1643	9.30379	10.6806	10.6488	12.8892	10.5525	12.0938	12.2067	7.21627	8.66589	10.6914	10.172	9.85016	7.0099	9.95951	9.04131	9.22269	12.3656	6.50427	8.43352
MED24	16.8089	16.7323	7.86476	7.48471	7.70255	8.92729	5.43141	4.94279	27.1736	25.0135	22.0644	20.9286	20.0703	24.5865	12.1653	13.0573	15.7878	13.8236	22.4853	18.3211
MED25	10.7491	17.839	7.32509	6.66982	8.4648	18.4125	7.02742	5.84317	14.1558	7.61809	10.4672	14.676	5.5502	12.8002	6.90136	12.103	17.7969	8.93152	12.7532	6.92211
MED26	4.10159	5.15675	3.8183	3.42847	3.4667	5.27559	3.6549	3.4452	4.33006	3.14619	2.67711	3.35968	3.18395	4.92466	3.26962	4.72782	4.14533	3.07914	8.08043	5.21637
MED27	13.3213	11.929	24.3541	25.0388	11.3923	11.4752	23.4071	23.9178	17.0791	15.2857	7.94776	7.97645	15.277	17.9751	13.3321	15.2098	7.52264	6.99018	17.1885	15.7346
MED28	26.3086	25.4338	24.433	25.2114	23.9972	22.3484	21.438	22.9229	32.1988	34.6494	34.3487	29.5506	36.8447	35.6133	30.7343	27.8917	24.9527	25.8651	32.0776	37.4184
MED29	11.4753	11.273	15.6339	16.0933	11.5495	13.1848	14.5929	15.4173	8.97462	9.06257	10.522	9.34263	7.82471	9.57433	11.216	11.7976	12.0092	10.3542	14.8962	12.5611
MED30	9.90504	13.0184	8.51473	8.10965	7.50995	9.28297	6.75906	6.34864	12.1237	8.39065	14.1573	16.4276	10.2242	10.8693	7.33393	7.69822	9.25682	7.59742	7.63736	8.75396
MED31	7.09335	7.37629	10.3045	10.8821	7.80866	5.53273	9.86982	10.5469	8.7733	9.30372	6.8236	7.51675	9.18875	7.27809	10.4276	9.91098	6.63836	6.96756	8.47492	10.6522
MED4	11.5964	12.6058	19.543	22.9725	11.3231	10.5343	16.8388	18.5459	9.05284	9.83469	10.3203	9.39143	11.9906	9.64298	9.25005	8.6628	6.46726	6.85454	7.97368	10.4978
MED4-AS1	13.2644	15.8709	22.6948	24.5442	14.3866	12.3381	23.6033	23.53	11.6439	10.5637	13.4346	11.1718	15.8488	10.7367	10.5989	13.0969	11.2701	10.5179	10.8129	13.0298
MED6	19.6064	18.4777	24.8036	26.671	16.523	14.1825	21.5942	22.1079	21.6516	23.9544	23.3643	19.3257	30.6266	24.7642	20.208	19.0234	13.0032	15.974	19.0052	25.1578
MED7	18.6562	17.7134	16.906	19.7941	15.2852	13.0002	14.7272	18.4374	13.868	14.8967	17.3977	16.8145	14.3483	11.3635	20.7161	15.8746	11.3715	12.7674	7.40758	11.5026
MED8	16.6344	15.7441	20.52	19.7234	12.8592	12.3343	19.0287	18.6888	26.4512	28.5984	36.0672	33.7972	29.7209	28.3825	27.8483	24.553	19.2362	18.6857	18.2143	19.9216
MED9	6.3957	5.7418	7.29766	7.05454	4.86605	5.43523	6.10737	5.9383	10.6086	9.82857	12.1787	10.4738	10.2837	10.9506	6.1114	7.14367	7.29575	7.50835	7.84369	6.91349
MEDAG	0	0	0	0	0	0	0	0.0157075	0.0223591	0.0120815	0.0294314	0.0372355	0	0	0	0	0	0.0215258	0	0.0355553
